,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
3270024,Macon St & Nostrand Ave,Division Ave & Hooper St,40.681044459,-73.949960351,40.70684203101325,-73.9544353965357,1
3311631,Madison St & Seneca Ave,E 3 St & 1 Ave,40.701898694,-73.906323671,40.72467721,-73.98783413,1
4030737,Sullivan Pl & Bedford Ave,DeKalb Ave & Hudson Ave,40.664232612,-73.957503915,40.689888,-73.981013,1
1339786,Carlton Ave & Flushing Ave,Sterling Pl & Bedford Ave,40.69771266,-73.97379827500001,40.672695,-73.954131,1
385562,35 St & Broadway,44 Dr & Jackson Ave,40.760230899,-73.922387004,40.74718234,-73.9432635,1
199061,2 Ave & E 31 St,W 22 St & 10 Ave,40.743160844,-73.976915836,40.74691959,-74.00451887,1
190940,2 Ave & E 29 St,St Marks Pl & 2 Ave,40.742025137,-73.977808595,40.7284186,-73.98713956,1
51641,1 Ave & E 62 St,W 89 St & Columbus Ave,40.761205912,-73.960611939,40.7882213,-73.97041561,1
2275948,E 56 St & Madison Ave,7 Ave S & Bleecker St,40.761700511,-73.972550988,40.73213896287381,-74.00363802909851,1
3138119,Lenox Ave & W 115 St,Lenox Ave & W 126 St,40.80108428,-73.950193048,40.808442,-73.9452087,1
1187776,Broadway & W 37 St,E 33 St & 5 Ave,40.751611114,-73.98786366,40.74765947,-73.98490707,1
821584,Allen St & Rivington St,Madison St & Montgomery St,40.720379233,-73.990067124,40.713126,-73.984844,1
872437,Amsterdam Ave & W 73 St,W 87 St & Amsterdam Ave,40.779537201,-73.981010318,40.78839,-73.9747,1
1254453,Broadway & W 58 St,Vesey Pl & River Terrace,40.76619041,-73.981731534,40.7153379,-74.01658354,1
52175,1 Ave & E 68 St,1 Ave & E 62 St,40.765120864,-73.958109856,40.7612274,-73.96094022,1
1783169,E 106 St & Madison Ave,1 Ave & E 78 St,40.793455482,-73.949348807,40.77140426,-73.9535166,1
3459112,Mt Morris Park W & W 120 St,W 92 St & Broadway,40.804152608,-73.945847392,40.7921,-73.9739,1
4983663,West End Ave & W 60 St,Amsterdam Ave & W 73 St,40.772449255,-73.990062118,40.77966809007312,-73.98093044757842,1
2857342,Greenwich Ave & 8 Ave,W 10 St & Washington St,40.739224553,-74.002706766,40.73342399437081,-74.00851495563984,1
441832,44 Dr & Jackson Ave,21 St & Hoyt Ave S,40.74719274,-73.943161368,40.774645,-73.923706,1
497114,5 Ave & E 103 St,W 89 St & Columbus Ave,40.792160392,-73.952703357,40.7882213,-73.97041561,1
849941,Amsterdam Ave & W 167 St,Amsterdam Ave & W 167 St,40.839595795,-73.936931014,40.839443,-73.937044,1
3932813,St Marks Pl & 2 Ave,Bleecker St & Crosby St,40.728420138,-73.986903071,40.72615604980408,-73.99510189890862,1
2459649,E 88 St & Park Ave,W 35 St & 9 Ave,40.780985832,-73.956241369,40.75414519263519,-73.9960889518261,1
541747,5 St & 6 Ave,28 St & 36 Ave,40.6704836,-73.98208968,40.757186,-73.932719,1
499497,5 Ave & E 29 St,4 Ave & E 12 St,40.745273829,-73.987273812,40.732647,-73.99011,1
3141675,Lenox Ave & W 117 St,Fulton St & William St,40.80254662,-73.949099302,40.70960089363537,-74.00655090808868,1
4559232,W 42 St & 6 Ave,E 53 St & Madison Ave,40.754665017,-73.98424089,40.7597108,-73.97402311,1
603609,6 Ave & W 34 St,Park Ave & E 124 St,40.74964,-73.98805,40.8045555,-73.9396861,8
4806887,W 84 St & Columbus Ave,E 103 St & Lexington Ave,40.785216451,-73.972671866,40.7903051,-73.94755757,1
2973231,Icahn Stadium,E 133 St & Cypress Pl,40.793514132,-73.923903465,40.80262,-73.9174,1
1592130,Columbus Ave & W 95 St,Amsterdam Ave & W 73 St,40.791975856,-73.968144774,40.77966809007312,-73.98093044757842,1
4900931,Washington Ave & Greene Ave,Hancock St & Malcolm X Blvd,40.686509132,-73.96562016,40.68487,-73.9293,1
4641542,W 49 St & 8 Ave,Broadway & W 58 St,40.762359738,-73.988125443,40.76695317,-73.98169333,1
2596906,Forsyth St & Grand St,Pike St & Monroe St,40.717594266,-73.993381262,40.71173107,-73.99193043,1
226527,21 Ave & Crescent St,Vernon Blvd & 10 St,40.780413151,-73.912133694,40.7671863,-73.9373554,1
176451,2 Ave & 44 St,2 Ave & 39 St,40.65230357303063,-74.01344954967499,40.655722167971554,-74.01000827550888,2
2813411,Grand St & Samuel Dickstein Plaza,Canal St & Rutgers St,40.714941382,-73.983676195,40.71427487,-73.98990025,1
837497,Amsterdam Ave & W 125 St,Barrow St & Hudson St,40.813358,-73.956461,40.73172428,-74.00674436,1
2983874,Intervale Ave & Westchester Ave,Longwood Ave & Southern Blvd,40.821892619,-73.896720409,40.816343,-73.896447,1
5006886,West St & Chambers St,Morton St & West St,40.717501879,-74.013301253,40.73142106543068,-74.01077985769007,1
869822,Amsterdam Ave & W 73 St,W 106 St & Central Park West,40.780040145,-73.980829358,40.7981856,-73.9605909006,1
2564567,FDR Drive & E 35 St,W 50 St & 10 Ave,40.744340777,-73.971146226,40.76473420006519,-73.99194359779358,1
4115028,Valentine Ave & E 181 St,Valentine Ave & E 181 St,40.854208231,-73.899263144,40.854123869116,-73.89932222664356,1
842593,Amsterdam Ave & W 136 St,College Ave & E 170 St,40.819782734,-73.951802611,40.837576,-73.910489,1
